,municipio,poblacion total 2020,lon,lat
0,Aconchi,2563,-110.24663712182665,29.783731500000002
1,Agua Prieta,91929,-109.5425509,31.3179664
2,Alamos,24976,-108.92352318666747,27.0828453
3,Altar,9492,-111.88979063990689,31.09381305
4,Arivechi,1177,-109.05898032575935,28.8550216
5,Arizpe,2788,-110.07884258637418,30.43823295
6,Atil,626,-111.54704356827278,30.833559450000003
7,Bacadehuachi,979,-109.12604636370457,29.782791850000002
8,Bacanora,759,-109.39875405017763,28.86183285
9,Bacerac,1221,-108.73106595608989,30.2530664
10,Bacoachi,1475,-110.01242589178645,30.67849805
11,Bacum,23151,-110.105305291929,27.6637649
12,Banamichi,1825,-110.29845160870283,30.0634942
13,Baviacora,3191,-110.12899013989168,29.6145352
14,Bavispe,1169,-109.07011790903056,30.64958635
15,Benjamin Hill,4988,-111.19166833132614,30.15230375
16,Caborca,89122,-112.60800114389396,30.8974875
17,Cajeme,436484,-109.9022075359282,27.71198065
18,Cananea,39451,-110.21011852364062,30.9826994
19,Carbo,4946,-111.04324725851859,29.7388756
20,La Colorada,1848,-110.34397023202325,28.72625035
21,Cucurpe,863,-110.63177573622286,30.43043415
22,Cumpas,5829,-109.84544292112787,30.06855415
23,Divisaderos,753,-109.36970981000124,29.6246655
24,Empalme,51431,-110.66158806950205,28.003090800000003
25,Etchojoa,61309,-109.677999559276,27.045937799999997
26,Fronteras,9041,-109.6177801188526,30.83021845
27,Granados,1009,-109.34232213177164,29.7515076
28,Guaymas,156863,-110.8994059,27.9216441
29,Hermosillo,936263,-110.9692202,29.0948207
30,Huachinera,1186,-108.92071349686547,30.14735625
31,Huasabas,888,-109.35497646801542,29.97228995
32,Huatabampo,77682,-109.23206266403821,26.604877600000002
33,Huepac,943,-110.25485138870934,29.9314538
34,Imuris,12536,-110.78729867203893,30.83801105
35,Magdalena,33049,-111.1394211707977,30.77198795
36,Mazatan,1101,-110.35608737715526,28.93120375
37,Moctezuma,5173,-109.70788584867081,29.748798
38,Naco,5774,-109.9459547,31.3229703
39,Nacori Chico,1531,-108.91239812655806,29.619399299999998
40,Nacozari de Garcia,14369,-109.47208572443533,30.485376199999997
41,Navojoa,164387,-109.40226682750367,27.02657005
42,Nogales,264782,-112.184312,30.7240002
43,Onavas,365,-109.49492277943622,28.45685215
44,Opodepe,2438,-110.87447451102464,30.03487315
45,Oquitoa,496,-111.71353471136848,30.79337235
46,Pitiquito,9122,-112.0546569,30.6775289
47,Puerto Peñasco,62689,-113.38971892127962,31.530171799999998
48,Quiriego,3090,-109.37431384903331,27.5917481
49,Rayon,1496,-110.51727091540712,29.749958200000002
50,Rosario,4830,-109.35141088692146,28.04103125
51,Sahuaripa,5257,-109.00894587829927,29.01277815
52,San Felipe de Jesus,369,-110.31985792040552,29.870298599999998
53,San Javier,537,-109.75170045897028,28.61575515
54,San Luis Rio Colorado,199021,-114.7652542,32.4517957
55,San Miguel de Horcasitas,10729,-110.78881814701178,29.4788942
56,San Pedro de la Cueva,1458,-109.68565976802019,29.27809665
57,Santa Ana,16203,-111.03978943742567,30.457521200000002
58,Santa Cruz,1835,-110.59265703066472,31.14935035
59,Saric,2058,-111.44543308592564,31.24382655
60,Soyopa,1368,-109.63016660148608,28.8121735
61,Suaqui Grande,1114,-109.91823740548679,28.378900350000002
62,Tepache,1178,-109.52796594163596,29.485841299999997
63,Trincheras,1381,-111.65299366821108,30.286502650000003
64,Tubutama,1473,-111.35407345204874,30.93895175
65,Ures,8548,-110.32295743387147,29.35820725
66,Villa Hidalgo,1429,-109.35284036229942,30.257967450000002
67,Villa Pesqueira,1043,-109.99139196399986,29.1369188
68,Yecora,4793,-108.92544033455408,28.415574749999998
69,General Plutarco Elias Calles,13627,-112.71174894524103,31.6949837
70,Benito Juarez,21692,-109.86156898905733,27.0983243
71,San Ignacio Rio Muerto,14279,-110.39104040507084,27.3249803
